TRADE_DATE,PAIR,BASE_CURRENCY,QUOTE_CURRENCY,OPEN_RATE,HIGH_RATE,LOW_RATE,CLOSE_RATE,DAILY_CHANGE_PCT,MOVING_AVG_7D,MOVING_AVG_30D
2026-01-22,AUDUSD=X,AUD,USD,0.6754702925682068,0.6838074326515198,0.6754702925682068,0.6754794120788574,0.3430784908371471,0.6720992624759674,0.6720992624759674
2026-01-22,EURUSD=X,EUR,USD,1.167392373085022,1.1750743389129639,1.167392373085022,1.1672970056533813,-0.4680807074818813,1.1666227281093597,1.1666227281093597
2026-01-22,GBPUSD=X,GBP,USD,1.3417415618896484,1.349800944328308,1.3410578966140747,1.3419395685195923,-0.15968943708253916,1.3420714437961578,1.3420714437961578
2026-01-22,JPYUSD=X,JPY,USD,0.00631086016073823,0.006320992484688759,0.006294256541877985,0.006310900207608938,-0.18553888211350528,0.006325839553028345,0.006325839553028345
2026-01-23,AUDUSD=X,AUD,USD,0.6839991807937622,0.688098669052124,0.6834797859191895,0.6840506792068481,1.2689161171636254,0.6744895458221436,0.6744895458221436
2026-01-23,EURUSD=X,EUR,USD,1.1753920316696167,1.1775649785995483,1.1728966236114502,1.1754610538482666,0.6993976815965119,1.1683903932571411,1.1683903932571411
2026-01-23,GBPUSD=X,GBP,USD,1.350001335144043,1.3597116470336914,1.3483449220657349,1.3501288890838623,0.6102600114328811,1.3436829328536988,1.3436829328536988
2026-01-23,JPYUSD=X,JPY,USD,0.006309625692665577,0.006353563163429499,0.006281130947172642,0.006309108342975378,-0.02839317014393227,0.006322493311017752,0.006322493311017752
2026-01-26,AUDUSD=X,AUD,USD,0.6912899613380432,0.6940998435020447,0.690779983997345,0.691399872303009,1.0743638329081444,0.6773079335689545,0.6773079335689545
2026-01-26,EURUSD=X,EUR,USD,1.1858175992965698,1.1904903650283813,1.183712124824524,1.1858457326889038,0.8834557986110618,1.1712996164957683,1.1712996164957683
2026-01-26,GBPUSD=X,GBP,USD,1.3662508726119995,1.3712530136108398,1.3643310070037842,1.3662508726119995,1.194106996634734,1.3474442561467488,1.3474442561467488
2026-01-26,JPYUSD=X,JPY,USD,0.006443839054554701,0.0065209027379751205,0.0064380718395113945,0.006444710772484541,2.1493121077900645,0.0063428628879288835,0.0063428628879288835
2026-01-27,AUDUSD=X,AUD,USD,0.6913382411003113,0.6983240246772766,0.690231204032898,0.691472053527832,0.010439866669712706,0.6793313792773655,0.6793313792773655
2026-01-27,EURUSD=X,EUR,USD,1.1874228715896606,1.1989833116531372,1.185185194015503,1.1876484155654907,0.15201664321878805,1.1736351592200143,1.1736351592200143
2026-01-27,GBPUSD=X,GBP,USD,1.3675214052200317,1.3790820837020874,1.3665122985839844,1.3677457571029663,0.10941508041703026,1.3503444705690657,1.3503444705690657
2026-01-27,JPYUSD=X,JPY,USD,0.006478824187070131,0.0065406071953475475,0.006457069888710976,0.006479369942098856,0.5377924756886081,0.006362363895667451,0.006362363895667451
2026-01-28,AUDUSD=X,AUD,USD,0.6996397376060486,0.7020997405052185,0.697759747505188,0.6995800137519836,1.1725651358989106,0.6837342551776341,0.6818624585866928
2026-01-28,EURUSD=X,EUR,USD,1.2022699117660522,1.2023565769195557,1.1921935081481934,1.2017642259597778,1.1885512757212717,1.1792452846254622,1.1771512925624847
2026-01-28,GBPUSD=X,GBP,USD,1.3825522661209106,1.3829345703125,1.3751943111419678,1.3824374675750732,1.074155075664469,1.3563457216535295,1.3543560951948166
2026-01-28,JPYUSD=X,JPY,USD,0.006556560285389423,0.006564694922417402,0.0065033878199756145,0.006559398490935564,1.2351285626821995,0.006392592896840402,0.006386993220075965
2026-01-29,AUDUSD=X,AUD,USD,0.703937828540802,0.7093999981880188,0.6972100138664246,0.7039799094200134,0.6289338719715976,0.6884474073137555,0.6843199531237284
2026-01-29,EURUSD=X,EUR,USD,1.1976622343063354,1.1994577646255493,1.1908447742462158,1.1977769136428833,-0.33178823522643147,1.1840828486851283,1.1794430282380846
