TRADE_DATE,TOTAL_STOCKS_TRACKED,MARKET_AVG_RETURN,TOP_GAINER_RETURN,TOP_GAINER_TICKER,TOP_LOSER_RETURN,TOP_LOSER_TICKER,TOTAL_MARKET_VOLUME,AVG_MARKET_VOLATILITY
2026-02-18,10,0.7398,1.9323400315234531,AMZN,-0.036757240006732785,META,246769218,2.0574
2026-02-17,10,0.4698,3.16678635631116,AAPL,-1.6313715788533305,TSLA,464496600,2.0971
2026-02-13,10,-1.1131,0.08871295242764267,TSLA,-3.1155550409358046,V,454899000,2.1233
2026-02-12,10,-1.8161,1.5320113061760339,JNJ,-4.998181130189428,AAPL,553532600,2.1428
2026-02-11,10,-0.5019,1.053070880034232,JNJ,-2.391862464172402,GOOGL,445024400,2.1011
2026-02-10,10,-0.3198,1.8906316477488205,TSLA,-1.769863290060578,GOOGL,419677900,2.1416
2026-02-09,10,0.5557,3.106145236096221,MSFT,-1.8095143584890103,V,516001000,2.1892
2026-02-06,10,1.0292,7.871770069195429,NVDA,-5.5548048774404535,AMZN,685612900,2.2175
2026-02-05,10,-1.4507,1.415956006373979,JNJ,-4.954245368724165,MSFT,635240600,2.0536
2026-02-04,10,-0.9804,2.601295433518634,AAPL,-3.7799748820857486,TSLA,582942700,2.0346
2026-02-03,10,-0.9174,2.1775787421616357,JPM,-2.872193070447405,MSFT,521939400,1.9952
2026-02-02,10,0.5376,4.058122413384735,AAPL,-2.8880888041861437,NVDA,451113600,1.9791
2026-01-30,10,-0.4896,3.324852646602839,TSLA,-3.0048254164405543,V,548677200,1.8846
2026-01-29,10,0.1496,10.404800012266723,META,-9.993149179840492,MSFT,627866400,1.8317
2026-01-28,10,0.2498,1.5913430575060945,NVDA,-0.7085445328186761,AAPL,402289400,1.378
2026-01-27,10,0.6631,2.625616372331352,AMZN,-0.9880556502607107,TSLA,359317000,1.4299
2026-01-26,10,0.5992,2.9712962519964927,AAPL,-3.0864440001147146,TSLA,360802000,1.4874
2026-01-23,10,0.6362,3.282794050120964,MSFT,-1.9464491542561382,JPM,386791300,1.3036
2026-01-22,10,1.5551,5.656157280629773,META,0.22017843145859706,JNJ,386437100,1.1031
2026-01-21,10,0.7041,2.948278645511104,NVDA,-2.2903291194518274,MSFT,492292200,
2026-01-20,10,,,,,,526436200,
