TRADE_DATE,TICKER,COMPANY_NAME,SECTOR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME,DAILY_RETURN_PCT,CUMULATIVE_RETURN_PCT,MOVING_AVG_7D,MOVING_AVG_30D,VOLATILITY_30D,VOLUME_AVG_20D,PRICE_VS_52W_HIGH,PRICE_VS_52W_LOW
2026-01-20,AAPL,AAPL,,252.49373739571587,254.55180921698133,243.19244305608962,246.46937561035156,80267500,,0.0,246.46937561035156,246.46937561035156,,80267500.000,,
2026-01-20,AMZN,"Amazon.com, Inc.",Consumer Cyclical,233.75999450683594,235.08999633789062,229.33999633789062,231.0,47737900,,0.0,231.0,231.0,,47737900.000,89.32714617169373,143.14041392985501
2026-01-20,GOOGL,GOOGL,,320.8699951171875,327.7300109863281,320.42999267578125,322.0,35361000,,0.0,322.0,322.0,,35361000.000,,
2026-01-20,JNJ,Johnson & Johnson,Healthcare,217.08999633789062,218.72999572753906,214.5,218.2100067138672,14057100,,0.0,218.2100067138672,218.2100067138672,,14057100.000,88.57723024715534,154.2120188790581
2026-01-20,JPM,JP Morgan Chase & Co.,Financial Services,306.2099914550781,311.1499938964844,301.8599853515625,302.739990234375,12900600,,0.0,302.739990234375,302.739990234375,,12900600.000,89.7672320932172,149.75266632092155
2026-01-20,META,"Meta Platforms, Inc.",Communication Services,607.8800048828125,611.4000244140625,600.0,604.1199951171875,15169600,,0.0,604.1199951171875,604.1199951171875,,15169600.000,75.87064302884615,125.91079514739214
2026-01-20,MSFT,Microsoft Corporation,Technology,451.2200012207031,456.79998779296875,449.2799987792969,454.5199890136719,26130000,,0.0,454.5199890136719,454.5199890136719,,26130000.000,81.82914556011735,131.82516575703235
2026-01-20,NVDA,NVIDIA Corporation,Technology,181.89999389648438,182.3800048828125,177.61000061035156,178.07000732421875,223345300,,0.0,178.07000732421875,178.07000732421875,,223345300.000,83.92007508563964,205.57608788295857
2026-01-20,TSLA,"Tesla, Inc.",Consumer Cyclical,429.3599853515625,430.7300109863281,417.44000244140625,419.25,63187300,,0.0,419.25,419.25,,63187300.000,84.04666920594191,195.6826137689615
2026-01-20,V,Visa Inc.,Financial Services,321.5668970946223,327.644360890433,320.89826248076747,325.1495056152344,8279900,,0.0,325.1495056152344,325.1495056152344,,8279900.000,86.58877409795595,108.74565405191785
2026-01-21,AAPL,AAPL,,248.46750904444812,251.3248360900433,244.9507953165175,247.41848754882812,54641700,0.38508311068107415,0.38508311068107415,246.94393157958984,246.94393157958984,,67454600.000,,
2026-01-21,AMZN,"Amazon.com, Inc.",Consumer Cyclical,231.08999633789062,232.3000030517578,226.8800048828125,231.30999755859375,47276100,0.1341980773133117,0.1341980773133117,231.15499877929688,231.15499877929688,,47507000.000,89.44702148437499,143.3325056132072
2026-01-21,GOOGL,GOOGL,,320.9200134277344,332.4800109863281,319.3500061035156,328.3800048828125,35386600,1.9813679760287268,1.9813679760287268,325.19000244140625,325.19000244140625,,35373800.000,,
2026-01-21,JNJ,Johnson & Johnson,Healthcare,211.0,218.67999267578125,210.5,218.00999450683594,14762900,-0.09166041926460344,-0.09166041926460344,218.11000061035156,218.11000061035156,,14410000.000,88.49603998653784,154.07066749599713
2026-01-21,JPM,JP Morgan Chase & Co.,Financial Services,303.42999267578125,305.3999938964844,301.1499938964844,302.0400085449219,10270100,-0.2312154693904871,-0.2312154693904871,302.38999938964844,302.38999938964844,,11585350.000,89.55967636617402,149.40641499056287
2026-01-21,META,"Meta Platforms, Inc.",Communication Services,606.739990234375,618.27001953125,600.0800170898438,612.9600219726562,14494700,1.4632898971923545,1.4632898971923545,608.5400085449219,608.5400085449219,,14832150.000,76.98085048322213,127.75323509225849
2026-01-21,MSFT,Microsoft Corporation,Technology,452.6000061035156,452.69000244140625,438.67999267578125,444.1099853515625,37980500,-2.2903291194518274,-2.2903291194518274,449.3149871826172,449.3149871826172,,32055250.000,79.95498881115536,128.80593559893342
2026-01-21,NVDA,NVIDIA Corporation,Technology,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000,2.948278645511104,2.948278645511104,180.69500732421875,180.69500732421875,,211863150.000,86.39427273868644,211.63704378228903
2026-01-21,TSLA,"Tesla, Inc.",Consumer Cyclical,421.6600036621094,438.20001220703125,419.6199951171875,431.44000244140625,68124000,2.907573629435003,2.907573629435003,425.3450012207031,425.3450012207031,,65655650.000,86.49038799619234,201.37222984429695
2026-01-21,V,Visa Inc.,Financial Services,325.75825361952474,327.9936647784267,322.3353193026403,324.6106262207031,8974600,-0.1657328045176033,-0.1657328045176033,324.88006591796875,324.88006591796875,,8627250.000,86.445268094246,108.56542682966659
2026-01-22,AAPL,AAPL,,248.96703988447874,250.76536025794266,247.9180183962477,248.1178436279297,39708300,0.28266120532466044,0.6688327965678874,247.33523559570312,247.33523559570312,0.07242322381956695,58205833.333,,
2026-01-22,AMZN,"Amazon.com, Inc.",Consumer Cyclical,234.0500030517578,235.72000122070312,230.89999389648438,234.33999633789062,31913300,1.309929882528894,1.4458858605587122,232.21666463216147,232.21666463216147,0.8313679323246392,42309100.000,90.61871474783086,145.210060935612
2026-01-22,GOOGL,GOOGL,,334.45001220703125,335.1499938964844,328.75,330.5400085449219,26253600,0.6577756349325246,2.652176566745924,326.9733378092448,326.9733378092448,0.935921119915703,32333733.333,,
2026-01-22,JNJ,Johnson & Johnson,Healthcare,218.77000427246094,222.1699981689453,218.10000610351562,218.49000549316406,13160000,0.22017843145859706,0.12831619572058844,218.2366689046224,218.2366689046224,0.22050336598379458,13993333.333,88.69088917928316,154.4098978750276
